titulo,empresa,descripcion
"Sr. Manager, Software Engineering",opentext,"OPENTEXT - THE INFORMATION COMPANY



As the Information Company, our mission at OpenText is to create software solutions and deliver services that redefine the future of digital. Be part of a winning team that leads the way in Enterprise Information Management.



The opportunity:

The InfoArchive group of OpenText Enterprise Content Management platforms division is focusing on development and maintenance of the InfoArchive product line. InfoArchive is a unified enterprise archiving platform that stores related structured data and unstructured content in a single, consolidated repository. This product enables corporations to preserve the value of enterprise information in a single, easily accessible, unified archive. You will join the founding members of the InfoArchive Server team and will become responsible for part of the product. This is a virtual position, but you should be around Rotterdam to meet the team in Rotterdam from time to time.



As a Senior Manager, Software Engineering, you will play a key role in the continuing success and design of the InfoArchive product line. You will work within general practices; implement features for a wide range of complex software modules in Java. To ensure product functionality completeness and the highest quality of work, you will work closely with product managers, QA engineers, technical writers, support engineers and other engineering teams worldwide. Assignments may include new products as well as upgrades, and enhancements of or fixes to existing products.



You are great at:


Implementing excellent code employing best practices and applicable design patterns while validating it with unit tests and integration tests. We do expect you to be very hands-on in development process together with the rest of the team.
Leading design specs, architectural reviews and code reviews.
Working on unusually complex and sensitive problems and provide state-of-the art solutions that are highly creative.
Acting as lead contributor to the team and the organization as a whole. Not hesitating to be involved in developing, mentoring or coaching others.
Being accountable for delivery of entire subsystems, anticipating issues and addressing them proactively.

What it takes:


BS, MS or PhD in CS or a related field with 4 years in project management or management position.
Strong knowledge and experience with Java development of highly concurrent systems
Strong knowledge of data structures, distributed systems, multithreading programming, performance optimization
Strong communication skills in English, both verbal and written
Working knowledge of XML related standards (e.g. XSD, XQuery, parsing techniques)

Desired


Practical experience with Perforce, Jira, TeamCity, Maven, Gradle
Practical experience with profiling Java code
Practical experience with Agile/Lean software development methodologies

At OpenText we understand and value diversity in our employees and are proud to be an Equal Opportunity Employer."
Senior Consultant,Oracle,"Senior Consultant-20000ZD7



Applicants are required to read, write, and speak the following languages: English, Spanish

Preferred Qualifications


As a member of the CGBU organization, your focus is to deliver post-sales support and solutions to the Oracle customer base while serving as an advocate for customer needs. This involves resolving post-sales non-technical customer inquiries, as well as, technical questions regarding the use of and troubleshooting. A primary point of contact for customers, you are responsible for facilitating customer relationships with Support and providing advice and assistance to internal Oracle employees on diverse customer situations and escalated issues.
As a Support Engineer, you will be the technical interface to customers, for resolution of problems related to the operation, recommended maintenance and use of Oracle products. Have an understanding of all Oracle products in their competencies and in-depth knowledge of several products and/or platforms. Also, you should be highly experienced in multiple platforms and be able to complete assigned duties with minimal direction from management. In this position, you will routinely act independently while researching and developing solutions to customer issues.
Job duties are varied and complex utilizing independent judgment. Product or technical expertise relevant to practice focus. Demonstrates competence in a minimum of one product or technology area. Knowledge/experience with the Oracle Communications Core Network elements such as Eagle (OC-STP), , EPAP, PIC products, PCRF, DSR and Diameter, SS7, TCP protocol. Ability to communicate effectively and build rapport with team members and clients. Spanish and English fluency. Must be capable to maintain business conversations written and spoken. Ability to travel as needed.


Preferred Qualifications


This position is for Support on Eagle products. (Post sales)


SPECIFIC SKILLS:
 Open and track trouble tickets through problem resolution, and provide summary reports to customers.
 Analyze problem reports, replicate customer network environment and reproduce customer problems in our lab to troubleshoot technical issues.
 Escalate and follow up issues to the Engineering organization as required.
 Be able to work and promote healthy team environment
 Must be familiar with LAN/WAN data networking architectures and routing protocols.
 Must have advanced knowledge of Diameter, SS7/Sigtran/GSM MAP/TCAP/ protocol knowledge.
 Analyzing and debugging IP packet captures using Wireshark/Tshark
 Operating Systems: Linux/Unix command line and OS troubleshooting
 Proven track record in troubleshooting customer issues
 Excellent verbal and written English Language communication skills
 Participate in ""on call"" if required


EXPERIENCE


 5+ years knowledge/experience with LAN and WAN technologies
 5+ years knowledge/experience with Diameter, SS7/Sigtran/GSM MAP/TCAP environment
 5+ years experience with Core Network products (2G/3G/4G)
 High Linux/Unix command line and OS troubleshooting
 Experience with Oracle products (STP/EPAP/PIC/E5-MS/PCRF/DSR)



Detailed Description and Job Requirements

Intermediate consulting position operating independently with some assistance and guidance to provide quality work products to a project team or customer that comply with Oracle methodologies and practices. Performs standard duties and tasks with some variation to implement Oracle products and technology to meet customer specifications.



Standard assignments are accomplished without assistance by exercising independent judgment, within defined policies and processes, to deliver functional and technical solutions on moderately complex customer engagements.



2-5 years of overall experience in relevant functional or technical roles. Undergraduate degree or equivalent experience. Product or technical expertise relevant to practice focus. Ability to communicate effectively and build rapport with team members and clients. Ability to travel as needed.



Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.



Job: Consulting
Travel: Yes, 25 % of the Time
Location: MX-MX,Mexico-Guadalajara/Zapopan
Job Type: Regular Employee Hire
Organization: Oracle"
Jr. continuous improvement Engineer,North American Production Sharing,"Jr. Continuous improvement Engineer



Responsabilities:
Follow up to corrective actionsTrainingData analysisReports



Qualifications:
Industrial engineering degreeAdvanced english1 year of experience in the position (requirend)Knowledge: Probability and statistics, 5 whys & pareto"
Cloud Architecture and Security Engineer,Oracle,"Cloud Architecture and Security Engineer-20000YUX



Applicants are required to read, write, and speak the following languages: English, Spanish

Preferred Qualifications


Preferred Qualifications
The Oracle Next Generation Contact Center Infrastructure team is seeking a senior system engineer with strong security background to join a team of talented professionals who are building a large-scale, global contact center to serve the needs of Oracle’s Sales and Support organizations. The candidate must be an experienced full-stack system engineer who can work with a broad range of technologies in a cloud environment.
Experience with cloud architecture and security models are a must. The successful candidate will be competent with virtual computing, Oracle databases and networking. Experience with technologies such as Dockers, Kubernetes and other cloud-native services is a strong plus.
You should be comfortable with large-scale distributed system architecture, design and development experience throughout the entire product lifecycle. You should have experience with architecture design of services and launching them into production. You’ve operated high-scale services and understand how to make them more resilient. You work on most projects and tasks independently and provide technical leadership to the organization. You have experience working with services that require data to traverse global networks but must abide by compliance and regulations.
The ideal candidate will be technically strong and able to own and execute on multiple projects. You’ve worked on services that are highly available, scalable, and redundant. You understand that simple systems are easier to operate and troubleshoot. You can balance speed and quality with iteration and incremental improvements. You’ve made life easier for others and have motivated your teams to make both process and service improvements with your ability to automate and instrument properly to get the right data. You understand operational excellence and how to instill a culture of being proactive with your teammates. You proactively find anomalies that didn’t trip any alarms and root cause problems before they become real problems.
Experience with building highly available services, possessing knowledge of micro-service design patterns and service-to-service communication protocols
Understanding of SIP, RTP, SBCs and Voice infrastructure.
Experience with Genesys or other contact center vendor software
Hands-on experience developing services on a public cloud platform (e.g., AWS, Azure, Oracle)
Experience working with internal customers and translating requests into prioritized work or features
Expertise in applying threat modeling or other risk identification techniques to develop security solutions
Responsibilities
Cloud Architecture –As a full-stack system engineer, you work with the lead architects to design cloud-native infrastructure and practices. You understand operating systems, virtualization, containerization, databases, micro-service architecture & design, monitoring, metrics, logging, and how to define and deliver on the requirements for implementation of enterprise grade systems.

You can work with business requirements and help drive decision making regarding technology use in conversations spanning engineering teams, product management teams and executives.
Reliability Engineering – You will understand and be able to communicate the scale, capacity, security, performance attributes and requirements of the services you own.
Automation – You will have a clear understanding of automation and orchestration principles, and will be eager to automate, wherever and whenever the possibility arises, while simultaneously eliminating technical debt. Automation must be part of your DNA.
Security Engineering – You will be part of the team whose mission it is to design security into the application. This will include building presentations to review and gain approval with corporate security. Scope includes network, database and data security as well as managing the security implementation.

Required Qualifications
 8+ years distributed service engineering experience in software design and development
Experience driving architecture and security reviews, documentation, UX reviews, and working with Product Managers through the entire launch process
Take initiative and ownership for delivering complex infrastructure systems by working effectively with the teams and other stakeholders
Hands-on experience building and operating entire systems and services
Good understanding of databases, storage and distributed persistence technologies.
Experience building multi-tenant, virtualized infrastructure a strong plus

Detailed Description and Job Requirements

Solve complex problems related to infrastructure cloud services and build automation to prevent problem recurrence. Design, write, and deploy software to improve the availability, scalability, and efficiency of Oracle products and services. Design and develop designs, architectures, standards, and methods for large-scale distributed systems. Facilitate service capacity planning and demand forecasting, software performance analysis, and system tuning.



Work with Site Reliability Engineering (SRE) team on the shared full stack ownership of a collection of services and/or technology areas. Understand the end-to-end configuration, technical dependencies, and overall behavioral characteristics of production services. Responsible for the design and delivery of the mission critical stack, with focus on security, resiliency, scale, and performance. Authority for end-to-end performance and operability. Partner with development teams in defining and implementing improvements in service architecture. Articulate technical characteristics of services and technology areas and guide Development Teams to engineer and add premier capabilities to the Oracle Cloud service portfolio. Understand and communicate the scale, capacity, security, performance attributes, and requirements of the service and technology stack. Demonstrate clear understanding of automation and orchestration principles. Act as ultimate escalation point for complex or critical issues that have not yet been documented as Standard Operating Procedures (SOPs). Utilize a deep understanding of service topology and their dependencies required to troubleshoot issues and define mitigations. Understand and explain the affect of product architecture decisions on distributed systems. Professional curiosity and a desire to a develop deep understanding of services and technologies.



A BS or MS in Computer Science, or equivalent. Identifies and implements complex solutions to knowledge of server hardware and software configuration, networking, standard internet services, scripting languages, cloud computing patterns, technology security and compliance. Experience running large scale customer facing web services. Identifies and implements complex solutions to understanding of load balancing technologies and experience with development in programming languages, databases and big data stores, and container technologies. Work involves defining and documenting technical architecture of complex and highly scalable products. A minimum of 8+ years experience of running large scale customer facing web services.



Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.



Job: Product Development
Location: MX-MX,Mexico-Guadalajara/Zapopan
Job Type: Regular Employee Hire
Organization: Oracle"
Técnico Pruebas de Marketability,Nissan,"General Description:
Marketability scope is very broad since project involvement starts at early stage; activities include analysis of customer feedback, unique market conditions and competitiveness evaluations for target settings followed by project coordination and validations thru development cycle.
As Marketability Technician you should have a broad approach to vehicle performance and systems, parts components assembly / disassembly for any required analysis, you should be able to conduct vehicular tests identifying the strengths/weakness by a subjective analysis. Communication and cross functional/cultural mindset are key for this function since interaction with internal/external groups including suppliers and other countries is always conducted.
Key Responsibilities:
Vehicle Evaluation:
Test plan preparation, coordination, execution, results, report and follow up.
Customer Feedback:
Data base processing, analysis, report and follow up.
Competitiveness:
Media and magazine monitoring for new vehicle launch, trends and upgrades.
Market Conditions:
Understanding of situations for impact on vehicle performance
Technical Support to Engineers:
Vehicle preparation, test execution, root cause analysis, parts assembly, LABO, tools and Equipment maintenance.
Design Satellite Office Support
 Vehicle re-flash / ECU re-programing, re-works, Manufacturing campaigns.
Education/Certifications:
Automotive industry Technician
Automotive Maintenance Technician
Quality Control Technician
Mechatronics Technician
Electro-Mechanical Technician
Vehicle Systems Technician
Previous Work Experience
Automotive Industry or related (2 years at least)
Other Knowledge, Skills and Abilities
Basic knowledge about vehicle components/systems and performance.
Language: English (Fluent conversation; Toeic 600 points)
Travel %: Willing to travel (20~50%).
Must have: Driver License ( 02 years of driving experience City & Highway)
Nice to have: MEX Passport & US VISA (No green card nor US American Citizen)
Computer Skills: Office (Excel, Word, PowerPoint, etc.) and CAD software
Competencies: Communication, analytical thinking, planning, cross functional, leadership, emotional intelligence, proactivity, presentation, commitment & target.
Aguascalientes Aguascalientes Mexico"
Failure Analysis Engineer,Infineon Technologies,"Descripción y detalle de las actividades
. Perform a Failure Analysis Complete of the different Failures Analysis Categories (Services, NPI & LYL) • Analyze trends and Pareto of main contributors in order to control de defects • Perform a SEM/EDX Analysis • Perform a Cross Section Analysis • Review the task of the Direct personnel during the shift • Perform FA Shift Change, Material Non-conformance Alerts. • Be part of the MRB meeting to provide the proper disposition to all Non-conformance material • Update Failure Analysis Database • FA Techniques Training
Experiencia y requisitos
Electronic Engineer Bachelor Degree English 50% MS Office Measurement Equipment (Curve Tracer, Oscilloscope, Pulse generator) Electronic Microscope 2 year experience in Failure Analysis Laboratory 1 to 3 year experience in Quality area Experience in 8D’s Chemicals Knowledge Knowledge of project management. Statistical knowledge and data interpretation and analysis Initiative for continuous improvement on Failure Analysis methodology. Good communication skills to provide results and conclusions of Failures. Aplica desde el portal de Infineon: https://www.linkedin.com/jobs/view/2226382393/?alternateChannel=search&refId=2292c523-0ef4-4c7b-895d-49359c29ad7c&trackingId=JcjGktOLylgK9GdGprDYjg%3D%3D

Número de vacantes
1
Área
Calidad
Contrato
Permanente
Turno
Diurno
Jornada
Tiempo Completo
Estudios
Carrera Profesional
Sexo
Indistinto"
Hydraulic Mechanical Engineer (rotating equipment),John Crane,"As a member of the ELU (Engineered Lubricator Units) team, the engineer will design and engineer seal and bearing lubricators. Guide drafting on the creation of general arrangement drawings for the products assigned to the engineer such as hydraulic control units used to support mechanical seals, instruments, controls, etc. Create the bill of materials for each order ensuring accuracy and attention to detail. Oversee aspects of design, fabrication, operation, application, installation, and testing of products. Performs a variety of tasks related to engineering design. A wide degree of creativity and latitude is expected.
Duties & Responsibilities
Confers with John Crane sales force, customers, and plant engineers to clarify or resolve problems, develops designs, and prepare design modifications as required.
Performs job costing, and system design including application analysis, development of drawings, specification review and selection of components including: process filters, pneumatic and electronic control instrumentation, valves, pressure and flow instrumentation switching devices, annunciating systems, and developing layout drawings of final configurations.
Directs preparation of product or system layout and detailed drawings or schematics.
Provides manufacturing department with BOM, GA drawings, detailed drawings, and datasheets
Coordinates with the customer for final testing/inspection and shipment and advises manufacturing department of these dates.
Compiles and analyzes systems test and research data prior to the shipment of the product.
Available to travel for start-up and trouble-shooting when necessary.
Other duties may be assigned.
The Individual
Bachelors degree in Engineering or Engineering Technology
5 years of experience in mechanical design engineering role
Conversational English level (Interview will be performed in this language)
Knowledge of complex and applied engineering principles
Demonstrated knowledge of fluid hydraulics such as pump and motor sizing, fluid flow through piping
Demonstrates the ability to complete complex projects on time and on budget
Manages multiple projects and priorities simultaneously
Possesses advanced problem solving and significant decision making abilities
Self-Management: achievement, initiative
Social-Awareness: service orientation, organizational awareness, empathy
Relationship management: conflict management
Lean/Continuous improvement & Six Sigma Certification preferred
Fluid power certifications preferred
Desirable knowledge API 682
Salary & Benefits
Important note:

Salary and benefits will be discussed in the first contact / interview.
This position will work remotely during the first months but will be required to work in site (Cuautitlan Izcalli) starting 2021."
Technical Production Lead,Flex,"Principle Accountabilities:
Develops, maintains and improves most assembly processes.
Evaluates process specifications periodically to determine if they accurately reflect the process requirements and reviews process steps and reduces inefficiencies.
Collaborates with the Quality Engineers on process improvement, monitoring tools, root causes and corrective actions.
Drives production schedules and process related problems to closure.
Supports engineering and the development labs with all new product introduction and development.
Assists in the compliance of safety regulations, i.e. ISO and business controls.
Provides production ready documentation (MPIs) with equipment setup and programs.
Leads team in making process and efficiency improvements.
Partners with team and handles first calls in non-maintenance down issues and aids manufacturing support with implementing changes.
Monitors equipment performance and makes minor adjustments such as set-ups, calibrations and alignments.
Clears minor machine difficulties and performs maintenance and repairs under supervision of technician, engineer or supervisor.
Assists operators by answering questions and demonstrating operations.
Spot checks product to ensure quality levels are maintained.
Stays current working with manufacturing support on process and equipment changes and upgrades.
Must have knowledge and experience with all assembly requirements.
Education / Experience
Typically requires an Associate’s Degree, vocational or technical training, or equivalent experience. Typically requires 10+ years of related experience.
Knowledge / Skills / Abilities
Demonstrates advanced skills which may be used to conduct on-the-job training and/or lead/guide other employees.
Serves as an expert/consultant in manufacturing line skills with other employees. Demonstrates broad knowledge of manufacturing line techniques and may improve processes. Applies new technologies/ techniques.
Ability to effectively present information in one-on-one and small group situations to other employees, and supervisors of the organization.
Ability to work with mathematical concepts such as probability and statistical inference, and fundamentals of plane and solid geometry and trigonometry. Ability to apply concepts such as fractions, percentages, ratios and proportions to practical situations.
Ability to define problems, collect data, establish facts and draw conclusions. Ability to interpret an extensive variety of forms and deal with several abstract and concrete variables .
Certificates, Licenses, Registrations
CAPICs/APICs certification an asset.
Scope / Impact
Affects different areas by contributing to development of techniques or concepts.
Decision Making / Discretion
Determines quality/ testing methods/ procedures on new assignments. Decisions may affect department/ function.
Supervision / Leadership
May mentor, coach and lead other employees and/or may develop employees at other levels.
Work Environment :
While performing the duties of this job, the employee is frequently exposed to risk of electrical shock. The employee is occasionally exposed to moving mechanical parts.
Physical Demands : Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employee is frequently required to talk and hear. The employee is occasionally required to stand, walk, sit, handle small components and reach with hands and arms. The employee must occasionally lift and/or move up to 50 pounds. Specific vision abilities required by this job include close vision, and depth perception.
Job Category
Operations
Flex does not accept unsolicited resumes from headhunters, recruitment agencies or fee based recruitment services. Flex is an Equal Opportunity Employer and employment selection decisions are based on merit, qualifications, and abilities. Flex does not discriminate in employment opportunities or practices based on: age, race, religion, color, sex, national origin, marital status, sexual orientation, gender identity, veteran status, disability, pregnancy status or any other status protected by law. Flex provides reasonable accommodation so that qualified applicants with a disability may participate in the selection process. Please advise us of any accommodations you request to express interest in a position by e-mailing: accessibility@flex.com . Please state your request for assistance in your message. Only reasonable accommodation requests related to applying for a specific position within Flex will be reviewed at the e-mail address. Flex will contact you if it is determined that your background is a match to the required skills required for this position. Thank you for considering a career with Flex.
The information we collect:
We may collect personal information that you choose to submit to us through the Website or otherwise provide to us. This may include your contact details; information provided in online questionnaires, feedback forms, or applications for employment; and information you provide such as CV/Resume. Your details will be provided to the entity you are applying for a job with. We will use your information for legitimate business purposes such as responding to comments or queries or answering questions; progressing applications for employment; allowing you to choose to share web content with others or; where you represent one of our customers or suppliers, administering the business relationship with that customer or supplier. We will process your data in accordance with our Recruitment Privacy Notice .
If you have any queries about the processing of your data, please contact:

Global Data Privacy Officer:
Email Address: chiefprivacyofficer@flex.com"
End to end Operations Wireless Systems Engineer (Level 7),General Motors,"About GM
There’s never been a more exciting time to work for General Motors.




To achieve our vision of a world with Zero Crashes, Zero Emissions and Zero Congestion, we need people to join us who are passionate about creating safer, better and more sustainable ways for people to get around. This bold vision won’t happen overnight, but just as we transformed how the world moved in the last century, we are committed to transforming how we move today and in the future.
Why Work for Us
Our culture is focused on building inclusive teams, where differences and unique perspectives are embraced so you can contribute to your fullest potential as you pursue your career. Our locations feature a variety of work environments, including open work spaces and virtual connection platforms to inspire productivity and flexible collaboration. And we are proud to support our employees volunteer interests, and make it a priority to join together in efforts that give back to our communities.
Job Description
RESPONSIBILITIES:
Fully understand & document system work flows, associated back-end interactions, and entire eco-system, including the wireless network elements used to deliver connected vehicle services.
Investigate end-to-end system performance and customer experience issues and applying sound technical judgment to data for the develop of system remedies
Identify current containment systems in place, build and execute a plan to remove.
Ensure adequate system requirements are documented for changes to the system platforms by maintaining a close working relationship with IT, Service Delivery, and Engineering departments
Effectively lead, motivate and facilitate others in group situations and instruct others to improve system and customer performance in the connected car environment
High level of analytical ability to assess and identify appropriate alternative courses of action for definition and resolution where problems are complex
Establish program monitoring to ensure agreed upon customer expectations will be achieved
Design and develop performance metrics that represent E2E service delivery performance
Critically evaluate customer performance issues and design or leverage existing tools to mitigate customer experience impacts.
Design, develop, and implement desktop applications and/or processes to automate routine tasks as necessary to facilitate analysis activities.
Ability to prioritize work with only limited direction from supervisor
Prepare and present project plans, status reports, and cost/benefit analysis to leadership.
Leads and participates in complex projects.
Creates & delivers presentations for management.
Provides and reviews metric data to improve efficiencies.
Provides customers & project teams with data analysis.
Support & lead strategies to achieve business initiatives.
Mentors team members and influences by example.
Performs other related duties as assigned.
Additional Job Description
End to end Operations Wireless Systems Engineer:
This position is responsible for ensuring the systems used to provide GM connected vehicle services are operating and functioning properly and the services are delivered successfully to all active subscribers. This role is highly technical and requires deep understanding of modern telematics system interactions and identifying data elements within these systems that can be used evaluate wireless performance within the end to end system.
The person in this role will work cross-functionally and globally to collaborate with business/product owners, IT development and operations, engineering, and quality teams, to ensure flawless end to end performance for our subscribers. The selected responsibilities would include performing technical validation/analysis, developing system service level objectives for global initiatives, defining requirements for new product launches, detailing technical/validation steps and building analytical tools.
Education:
Bachelor’s degree in Computer Science, Computer Engineering, Electrical Engineering, or equivalent Engineering or related degree or equivalent experience
Languages:
English language proficiency. This role requires full participation in business meetings and communications conducted in English.
Skills
Minimum Qualifications:
Strong Database skills and significant SQL query development experience, using and interacting with relational database structures and working knowledge of SQL
Experience in automotive systems and software development
Proficiency with MS Access/Office suite including proficiency developing advanced processes and applications for the desktop
Experience in wireless industry, related to CDMA, GSM, UMTS and LTE technologies
Proficiency Appropriate interpersonal styles and communication methods to work independently and effectively with business partners to meet mutual goals
Preferred Qualifications:
Master’s degree in Computer Science, Computer Engineering, Electrical Engineering, or equivalent technical experience in a related technical field
Experience with Power BI or Tableau SW
Direct experience at GM in one or more of the following areas:
Requirements definition
Issue resolution
Product validation
Process definition
Service delivery
Prior experience with vehicle infotainment, telematics, or navigation systems
Experience using problem solving techniques such as Six Sigma, Lean, ISO 900X, SPICE, or others.
Strong experience in testing and debugging End-to-End 3GPP wireless device call and data session performance in live networks, with tools such as QXDM and Wireshark.
Knowledge and Experience
Minimum 7 years’ experience in a lead technical role
High level of analytical ability where problems are complex and difficult
Excellent Communication and Cross Functional Team Building Skills
Diversity Information
General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteer opportunities.
We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities."
Manufacturing Engineer,,"IMS OPERACIONES


Solicita: Manufacturing Engineer
 



Descripción y Requisitos



Essential Responsibilities
Drive improved product quality by identifying manufacturing issues, developing cost-effective solutions, and overseeing successful implementation into production.
Work with Production Associates to resolve manufacturing and quality problems related to methods, processes, tooling, equipment and product design.
Participate in new product introductions through process layout, tool development, and new equipment.
Lead Compliance, as well as Environmental, Health & Safety efforts in support of plant goals.
Driving LEAN manufacturing implementation.
Provide safe processes that comply with all local and federal regulations. Assure that corrective action is taken to resolve observed safety concerns in all areas.
Identify and report any quality or compliance concerns and take immediate corrective action as required.
Knowledge and understanding of document control, design transfer, verification, validation, acceptance activity, to ensure that product, equipment, tools, processes, software, training and documentation meet requirements
Make decisions using data (Using advanced statistical tools, Excel worksheets, etc.), and give assertive proposal to the management.
Qualifications/Requirements
Engineering or related degree
Work Experience more than 5 years in similar roles.
Good team worker in international teams.
Good analytical and planning skills.
Maintenance experience also preferred.
Lean and six sigma training (black belt or green belt), knowledge demonstrated.
English advanced level.

Puesto: Ingeniero - Manufactura
 



Información Adicional
 

Tipo de contrato: Permanente
 

Salario: Negociable




Pais: MEXICO


Estado o Region: Chihuahua


Ciudad: Ciudad Juarez"
Manufacturing Engineer,Stryker,"Who we want
Collaborative partners. People who build and leverage cross-functional relationships to bring together ideas, data and insights to drive continuous improvement in functions.
Analytical problem solvers. People who go beyond just fixing to identify root causes, evaluate optimal solutions, and recommend comprehensive upgrades to prevent future issues.
Dedicated achievers. People who thrive in a fast-paced environment and will stop at nothing to ensure a project is complete and meets regulations and expectations.
Curious learners. People who seek out cutting-edge research and information to expand and enhance their ability to develop new ideas into reality.
Motivated product launchers. People who bring strategic direction and drive for execution to ensure products are developed and launched with precision.
What you will do
Support and improve existing processes using Statistical, Lean, Good Manufacturing Practice (GMP) and Six Sigma methodologies
Effectively transfer new products, design changes, or line extended devices onto the production floor
Foster an environment of continuous improvement and provide support to customers in all functional areas
Discuss progress and interim findings at periodic design/project review meetings
Perform Failure Analyses (FAs) and improve Functionality/Performance of medical devices
Implement process improvements and machining improvements on production lines
Reduce Reject Rates(scrap)and optimize manufacturing processes
Implement safety improvements on production lines
Assist in the development and execution of technical protocols and, generation of reports
Implement operating procedures, standard work, visual work instructions, and visual work references
Assist with training to Production for all new product launches and design changes to existing products or processes
Expectation of acquired knowledge of FDA/ISO requirements associated with the development of medical devices including Design Control
Perform other duties as directed or assigned by Manager
What you need
B.S. Engineering (Industrial, Mechanical, or Electrical)
Previous internship experience highly desired
Basic computer skills (word processing, spreadsheets, database)
SolidWorks, Autocad, TLC, and controls desired
100% Bilingual: English & Spanish
Work From Home: Not available
Travel Percentage: 20%"
Software Engineer - Frontend,delt.ai,"About delt.ai

At delt.ai, we are building the next Neobank for Entrepreneurs, Small and Medium Companies. Our goal is to create a digital services platform that manages your finances from transactions to records. By combining the power of banking tools and administrative automatization, delt.ai can provide peace of mind to business owners so that they can focus on what matters most - growing their businesses.



Deltas: Our People

We aim to hire not only the best-in-class talent but also high-potential individuals with the aspiration to grow, learn, build, create and win.



Our Values

Humbleness

We know can always learn from others, so we are open to other people’s ideas and ways.

Resourcefulness

We enjoy solving problems with the tools available, we also like to choose our battles and tools.

Open & decentralized

Our teamwork philosophy is to manage less, produce more. We invest time in a common vision and open work environment.



Our Culture

We like to do things right

We love doing things in the right way, while mindful of tight schedules.

Creative thinking

We love engineering, but we love understanding the product and making humans central to our design.

We like to feel human

We are very demanding with our results, but we don’t want to forget we are humans. We make robots, but we don’t become them.



What you'll do:

Create and implement new features with the correct use of algorithms and data structures that allow you to perform your task in an elegant, reliable, and efficient way.
Integrate APIs, libraries, and SDKs developed by third parties.
Construct of highly skilled, safe, and robust software systems.
Collaborate with Backend engineers to define specifications and particularities in the consumption of services based on requirements, using acceptable programming practices, as well as following internally established guidelines.
Code tests to ensure the correct functioning of the code through suites of at least unit and integration tests which will be automated through a continuous integration pipeline.
Develop, use, and maintain internal libraries to minimize technical debt and time required during the different stages of the systems development life cycle (SDLC).
Contribute to the long-term vision and strategy of the frontend engineer area staying informed, proposing, and implementing different practices for programming and quality assurance.
Collaborate with project managers to define tasks, deadlines, and personal deliveries:
Estimate delivery times for assigned tasks and give updates to these tasks.
Participate in active communication with the different team members to be aware of the status of the projects in which he/she participates and problems that require an immediate solution, as well as provide and receive feedback.



This role is for you if you:

Have solid initiative and autonomous management
Have a strong understanding of UX/UI principles
Have strong knowledge of Javascript under different paradigms like object-oriented and reactive
Have substantial experience in software testing
Are a team player



What we offer:

Work with a passionate and high-skilled team
Opportunities for growth and constant learning
Competitive salary
Flexible schedule (including home office)
An excellent work environment

It's a plus!

B.S. in Computer Science / Software Engineering or related
Experience working with agile methodologies in a distributed team
Prior experience with cloud computing
Solid understanding in object-oriented programming fundamentals
Excellent documenting skills
Experience in API design and fundamentals



Why join delt.ai?

If you ever wanted your workplace to be a propeller and not a blocker. If you want to be in a place where doing things right is on top of any other reason and to experience a constant opportunity to become your best version by developing your own skills, then delt.ai is the best place to work for you!"
