titulos,companias
Asesor de ventas automotriz,Washington Inventory Service México
Promotor de Ventas Servicios Financieros,BANCO AZTECA
CAJERO VENDEDOR,724
AYUDANTE DE CHOFER DE RUTA,GASIFICADORA DEL GOLFO
vendedor de cambaceo,PRICE SHOES
guardia de seguridad privada,VPT Vigilancia Privada Torres
Ejecutivo de ventas Zona Poza Rica,405 Total Play Poza Rica
OPERADOR FULL,SEARCH RH
REPARTIDOR EN MOTO,"Restaurante LOS GIROS, sucursal Ruiz Cortines"
AGENTE DE VENTAS DE SEGUROS DE VIDA,YIREH AND BROKERS
guardia de seguridad privada,Corporativo Ravelo s.a de c.v
VENDEDOR,RECLUTAMIENTO VENTAS
Asesor de Creditos Automotrices (Para gencia de autos),Corporativo Gama
AUXILIAR DE AREAS PUBLICAS,HOTEL FIESTA INN POZA RICA
Vendedor Combustibles,MADISA CAT
Paramédico/ Enfermera,CTQ & Asociados
Chofer 3.5 Poza Rica,Talento Humano
DEMOVENDEDORA SECTOR AUTOMOTRIZ - FORD BOCA DEL RIO,Liqui Moly Mexico
Gestor de cobranza - Apoyo Economico Coatzacoalcos,Apoyo Económico Familiar - Coatzacoalcos
repartidor en moto,Farmacias del Ahorro
Vendedor con licencia de chofer,GRUPO DESARROLLADOR 3000
PREVENTISTA CON EXPERIENCIA TENGA MOTO PROPIA,BANCIP S.A
COCINERO,SERVICIOS LOS CAFETOS SA DE CV
Vendedor Ejecutivo de Autos Multimarca - Coatzacoalcos,Grupo Autofin Monterrey
Repartidor en moto,PRODUCTOS MEZA
Promotor de venta en campo,Price Shoes
PROMOTOR DE VENTAS,ETESA SA DE CV
auxiliar de limpieza,MATERIALES OLMECA
VENDEDOR OPTOMETRISTA - LIVERPOOL VERACRUZ MOCAMBO,LIVERPOOL
OPTOMETRISTA,"Liverpool Mocambo, Veracruz"
Guardia de Seguridad,Casino Big Bola Boca del Rio
Promotor de ventas,Price Shoes
CHOFER DE PIPA DE GAS,GASIFICADORA DEL GOLFO
"TLC, TLQ o Lic. Enfermería",RRHH Ingenia
Promotor de Creditos,Hermanos Batta S.A. de C.V.
Gestor de cobranza Domiciliaria - Indispensable contar con m...,Financiera Independencia
Promotor de tarjetas de crédito,Evolution
DEMOVENDEDORA SECTOR AUTOMOTRIZ - MAZDA BOCA DEL RIO,Liqui Moly Mexico
OPERADOR DE CAMION FULL,CEMEX OPERACIONES MÉXICO
OPTOMETRISTA - LIVERPOOL VERACRUZ MOCAMBO,LIVERPOOL
Lic. Enfermería,RRHH Ingenia
ASESOR PREVISIONAL. ¡¡Pagos Semanales!!,InverCap Afore
MEDICO TITULADO PEROTE,SERVICIO MEDICO PARA TU BIENESTAR
Ejecutivo de Ventas AT&T - Valle Dorado,Prime MX
"AGENTE TELEFONICO BILINGÜE // GANA HASTA $17,480 ULTIMOS DIA...",Sykes Mexico
Auditor de Inventarios,MAS TALENTO RH
Jefe de Laboratorio en Reparación,Grupo ASG
Auxiliar Administrativo,TOP SECURUS SA DE CV
Asistente Comercial ATENCIÓN A CLIENTES,Human Trendi
Monitorista,TH HERSAN
"Technician, Repair-MEX",Ingram Micro
AUXILIAR ADMINISTRATIVO,Recurso Confiable S.A de C.V
Asistente Administrativo,IMEF S.A. DE C.V.
URGE AUXILIAR ADMINISTRATIVA PARA LABORAR EN TLALNEPANTLA,Monitoreo y Seguridad Privada
Supervisor de tiendas retail/ Manejo de multiunidades,Tiendas 3b
COMPRADORA,STRUCPIPE DE ACERO SA DE CV
RECEPCIONISTA,GRUPO COMMANDER
Servicio atención a cliente,Recurso Confiable S.A de C.V
Administrador Condominal,GRUPO MDA & DAN ADMON S.A. DE C.V.
Analista de Operaciones JR,KAVAK
Auxiliar de Operaciones,Tostadas charras
Service Agent I,FedEx Express LAC
Gerente de Sucursal,"GRUPO BIMBO, EL GLOBO"
Analista de Diseño,Rytsacolor s.a. de c.v.
ENCARGADO DE CRÉDITO Y COBRANZA,GRUPO POLTRE
Jefe de Servicio al Cliente,CIEMSA food service
Recepcionista,Job Fit
Becario Administración,Grupo Scorpion Mexico S.A de C.V
COORDINACIÓN DE MERCADOTECNIA (ESTADO DE MÉXICO),Dirección Humana y Asociados
Ecommerce Manager,Evolve Interactive
Courier,FedEx Express LAC
AUXILIAR DE INVENTARIOS,FAMSA
Generalista RH - Empresa Manufacturera,GRUPO LAP
Asistente Administrativa,Corporativo Brego
ASESOR INMOBILIARIO,Tecnocasa Mexico
Auxiliar Administrativo,Justo
Asesoría Digital (Edo. Mex. Texcaltitlan),BBVA
Cajero/a,Universidad Tecnológica de México
Supervisor de Operaciones,Nadro S.A.P.I de C.V
AYUDANTE GENERAL,BIOMEP
Asistente Administrativo,Industrias Notesa
Coordinador Administrativo,Cocinas Jaguar
Secretaria Administrativa,"Manufacturera de Accesorios para Oficina, S.A. de..."
Auxiliar de almacén/ Almacenista edad de 25 a 35 años Azcapo...,KRAVIZ BUSINESS CONSULTING
SE SOLICITA CAJERO ADMINISTRATIVO DE SUCURSAL,MILUYOLE S.A DE C.V
Auxiliar Batcheo,Nestle
Asesor de Servicio a Clientes,MOBO
CAPTURISTA DE DATOS,Grupo Farmacéutico Tolsan SA de CV
Auxiliar de Almacén,Hospital Centro Quirúrgico Satélite
Jefe de Almacén,Humaniq Middle and Top Management
Auxiliar Administrativo,IMPORTADORA SAN FRANCISCO S.A DE C.V
Secretaria Administrativa,"DISEÑOS Y CONSTRUCCIONES INTEGRALES SANTA MONICA,..."
Gerente Regional Comercial,Empleos Ejecutivos Working
Administrative Assistant,International Paper
Supervisor de Aseguramiento de Calidad,BeGroup
RESIDENTE ADMINISTRATIVO DE OBRA,ARSANGO CONSTRUCCION
VENDEDOR DE PISO EN PATIO CUAUTITLÁN,Importante empresa del ramo Óptico
Operativo de Producción,FRACHE
Agente de Soporte Técnico,ATENTO
Cajero/a Hospitalario,Médica MIA
Auxiliar Administrativo,Soluciones RH grupo F
Vendedor cajero Mostrador / Satelite,DHL Express
Vendedor Cajero Mostrador / Coacalco,DHL Express
Community Manager,AGENCIA DE AUTOS
Auxiliar Administrativo,CRISTAL Y LAVISA
ALMACENISTA,Grupo Costeño
Recepcionista fines de semana,Redu fácil Izcalli
CALL CENTER – OFFICE MAX,GRUPO OPRIMAX
AYUDANTE GENERAL,PUBLICIDAD MODERNA
Comprador Jr.,FARMACIAS GI Corporativo
Auxiliar Administrativo,TUM TRANSPORTISTAS UNIDOS MEXICANOS
Auxiliar Administrativo,COLCHAS CONCORD
Auxiliar de Compras,GIPROCOMEX
ANALISTA DE LABORATORIO FISICOQUIMICA /MICROBIOLOGIA NAUCALP...,Procter & Gamble
Asistente administrativo,LORETO
Tomador de muestras,LABORATORIO MEDICO DEL CHOPO
Jefe de contabilidad,Humberto Patiño Ham y Cía
Supervisor de Obra,PYME DE MEXICO S.A. DE C.V.
Asesor Comercial,Compramos Tu Casa.mx
GERENTE EN ATENCIÓN AL CLIENTE,WorkJob Mexico
Supervisor de Inventarios,BeGroup
AUXILIAR ADMINISTRATIVO,SOLUCION EN TEMPERATURA S.A. DE C.V.
Supervisor de Autoservicio,AIRHSA CAPITAL HUMANO MX
Recepcionista Hospital Tepotzotlan - Turno Vespertino,Hospital Santa Anita
Ejecutivo de Atención a Clientes,Stramex Seleccion
Archivista,"AUTOTRANSPORTES ACATITLAN, S.A DE C.V"
Recepcionista,INDUSTRIAS CORRUBOX SA DE CV
Anfitrion de Sucursal,Santander Bank
Subgerente de Compras,"Servicios Hospitalarios HRT S.A de C,V"
GENERALISTA DE RH,"Star Médica, Lomas Verdes"
Encargado de Recursos Humanos,TRACTOQUALITY
Becario de logística,Valeo Climate Control
Asistente Administrativo,KAVAK
Auxiliar contable,Humberto Patiño Ham y Cía
Atención a clientes vía telefónica,ETIFLEX SA DE CV
Asistente Administrativo,Centro Especializado Gonzalez
Vendedor Operaciones,Nestle
INSPECTOR DE CONTROL DE CALIDAD TEMPORAL,PLANTA DE ALIMENTOS
ayudante en general,Veladoras S de RL de CV
AUXILIAR PARA TIENDA EN LINEA,LA CASA DE LAS LUCES
ENCARGADO DE SUCURSAL,LA CASA DE LAS LUCES
Encargado de Sistemas,Grupo Ismo Motors
ASISTENTE DE DIRECCIÓN,BIOPAPPEL
ANALISTA,COPPEL
Atención a Clientes,GRUPO FINATRADE SA DE CV
Cajero (a) Sin Experiencia/ Plaza Satelite,Panda Express
Business Operations Manager,A2Z Solutions
Técnico Igualador Tinta Flexo Agua,Química Inks SA de CV
Especialista en Soporte TECNICO,Afasi S.A. de C.V.
Empleado General KFC Sor Juana,Premium Restaurant Brands
Supervisor de Logistica- Toluca,Levic
Cajero / Encargado de Tienda,Servicios Turísticos Teotihuacan S.A
Becario Comercio Internacional,Techno Spare
almacenista surtidor,GRUPO SID
Monitorista GPS,Comercial Frade S.A de C.V
Monitorista GPS,Grupo Comercial Control
ASISTENTE DE DIRECCION CUENTAS CLAVE,MEXIDOORO INTERNACIONAL
BECARIO FINANZAS DHL SUPPLY,FUNDACION NEMI A.C.
Aux Despachador Trafico,Transfer
ayudante de chofer,OPERADORA GPM
MENSAJERO,CAJAS Y EMPAQUES MODERNOS SA DE CV
CONSULTOR EN RECLUTAMIENTO Y SELECCION,CSYAP
Jefe de Almacén,GRUPO MEDESA S.A DE C.V
SE SOLICITA SUPERVISOR DE TIENDA,Linoleums y Recubrimientos S.A de C.V
Vendedor de Piso,Truper Servicios
Ejecutivo de ventas y atención a clientes,REVA
CHEF ROTATIVO,Cosmopolita de Polanco S.A de C.V
Asistente de Ventas,Comercializadora Valvulería Mexicana SA de CV
Analista Contable,Empresa Tapatía de Capital Humano S. C.
Vendedor Multifuncional - Petco Zona Esmeralda,PETCO
Auxiliar de almacén,MOBO
JEFE DE PRODUCCION,"QUIMICA BARQUIM, S.A. DE C.V."
Project Manager TI Bilingual,JGHUMANTALENT
Supervisor de Planeación,Kick off social para Ivoy
cajero,RESTAURANTE ARGENTINO
JEFE DE SISTEMA DE GESTIÓN,RH Consulting
Especialista en Evaluación Sensorial,"ABCO, S.A. de C.V."
Ing. Electromecanico,Cotton Dreams S.A de SAPI
Checador--Auditor--Verificador,Solistica
Ofrecemos Sueldo base + propinas + prestaciones de ley,Job Fit
Ayudante de Parrilla,La Cabaña de Fuentes
"AYUDANTE DE FABRICA (TEMPORAL / PLANTA BARCEL), TOLUCA. EDO...",BARCEL S.A. DE C.V
NUTRIOLOGA,IFOOD MEXICO S.A. DE C.V.
TESORERIA,PROFESIONALES ADMINISTRATIVOS
staff multifuncional,ARENA THE PLACE TO PLAY
Serigrafista,Job Fit
Especialista en evaluación sensorial (sabores y fragancias i...,ABCO S.A. de C.V.
Supervisor de Contenciones,Talento EXENTA
JEFE ADMINISTRATIVO DE PUNTO DE SERVICIO – TALLER AUTOBUSES,Volvo Group México
Especialista Google,World Promotionals
TELEMARKETING,"Iniciativa JC, S. C."
Barista,IHOP México
"Asesor telefónico de L-S 5,500",Atraccion de Talento
promotor de ventas,Farmacéutica Hispanoamericana
Coordinador de Licitaciones,Reclutamiento Empresarial S.A de C.V
Chófer Repartidor (Mensajería y Paquetería),Capital RH
Preventista de Créditos Grupales Sucursal Teotihuacan,FINANCIERA POPULAR TE CREEMOS
Responsable logística,Gas Diamante
Experto en Marketing Digital,Centro Humanista
Operador Técnico,GRR CORPORATE SERVICES
Servicio Social: Auxiliar Administrativo Contable,CICDE Consultores
Cocinero Comedor Industrial,Administracion Gastronómica
Costurera muestrista,MUEBLES A DISENO
Asesora Visual,Todomoda
Gerente de Ventas,Corporativo FAMCO
Asesor Comercial,Gmex
AUXILIAR DE RECURSOS HUMANOS,MISCELEC JUAREZ S.A DE C.V
SENIOR ACCOUNTANT.,American Industries Group Chihuahua
Engineering Supervisor,Lear Corporation
Jefe de Almacén,Tienda Cuprum Suc. Chihuahua
Transaction Processing Associate II,Conduent
Encargado de compras,CORPORATIVO AMERICAS
Auxiliar de Compras,Presicion Omega
Coordinador de Mercadotecnia,FORD PASA
Coordinador de Almacén,GAFI SERVICIOS SA DE CV
Desarrollador,PCE TECHNOLOGY DE JUÁREZ/FOXCONN GROUP (SAN JERÓNI...
"BILINGUAL INTERPRETER, Home Office PARRAL",Datamark Inc.
Comprador,SMTC de México SA de CV
Analista de Recursos Humanos,SACOMER INTERNACIONAL SA DE CV
Técnico de Ingeniería,TPI Composites
Gerente de Farmacia,Farmacias del Ahorro
Coordinador Administrativo,INNOVACION AGRICOLA
Supervisor de Logística,Caltic
Planner,SMTC de México SA de CV
Servicio al Cliente,Induspac
Auxiliar de EHS,Emerson
SUBGERENTE INGENIERIA EN PROCESOS,Capital RH
Test Engineer II,Jabil
Launch Manager RBE IV,Aptiv
Superintendente de Operaciones,Cooper Standard
Gerente de Operaciones para CEDIS,PHC
Coordinador de Servicios para Montacargas,Gmex
Supervisor Assembly,Hubbell Incorporated
Coordinador de logistica,TigerTeam
GERENTE GENERAL,GASES Y MATERIALES S DE RL DE CV
GERENTE DE ADUANAS,
Becario Comercio Internacioanl,Livingston International
Responsable de Compras,Samsara Tecnología y Soluciones S.A. de C.V.
Encargado de nomina,CTI
Coordinador de Mantenimiento,Talento Humano
Recepcionsta,Selecta Recursos Humanos
Gerente de Ventas,212 EXECUTIVE SEARCH & CONSULTING
TÉCNICO EN PINTURA ELECTROSTATICA,NOVOGEN
Planner,BRP
Auxiliary Operator,CommScope
Quality engineer,ZF
Supervisor de operaciones (ALMACEN) - ESTAFETA,3R Respuesta Rápida en Reclutamiento
SENIOR OPERATIONS TECHNICIAN,Johnson & Johnson Family of Companies
Sr Materials Mgmt Analyst,Honeywell
Encargado de compras,MATERIALES AMERICAS
"ADMINISTRADOR DE TIENDA, CHIHUAHUA",Garay Duero
"Team Leader I, Manufacturing",CommScope
COORDINADOR DE TRAFICO,"TRANSERVICIOS, S.A. DE C.V."
Auxiliar Administrativo EVENTUAL,INFRA S.A. DE C.V.
Supervisor de Estación de Servicio,Soluciones Capacitaciones de Capital Humano S.A de...
Especialista de Servicio al Cliente,Componentes Avanzados de Mexico S.A. de C.V.
Aux. Crédito y Cobranza,Avance y Tecnología en Plásticos
Sr HR Generalist,Honeywell
Supervisor de Almacén,STRATTEC DE MEXICO S.A. DE C.V.
AUXILIAR ADMINISTRATIVO EVENTUAL POR CONTINGENCIA,INFRA S.A. DE C.V.
Gerente de Ventas en Chihuahua,DISTRIBUIDOR AT&T
Analista de Mercadotecnia,SPECIAL COMPUTING SA
Tecnico de diagnostico,Flex
Asesor Domiciliario / hasta 23000,RH R RR
Administrador de inventarios,Farmacias del Ahorro
Buyer,Resideo
TECNICO DE INGENIERIA,
Coordinador Regional de Ventas,EAGLE IMPORTACION SA DE CV
supervisor de cajas,"chihuahua, CHIH"
SUPERVISOR DE PLANTA DE TRATAMIENTO,HHC RECLUTA
Training Supervisor,General Electric
Planner buyer,ZF
Clerk de control de documentos,TECMA
ASISTENTE DE INGENIERIA,
Launch Manager/Meoqui,Lear Corporation
Planeador de Mantenimiento,TigerTeam
Almacenista capturista,Talento Humano
"BILINGUAL INTERPRETER, Home Office CUAUHTEMOC",Datamark Inc.
Asociado de Ingenieria,TPI Composites
Auxiliar Administrativo,Diprenta.com
Administrador del sistema de mantenimiento,
SUPERVISOR DE VENTAS,GASES Y MATERIALES S DE RL DE CV
Lead Prep Engineer,Lear Corporation
EJECUTIVO JR DE RECLUTAMIENTO,Desarrolla-t
auxiliar operativo,SUBASTAS VENTURA
Financial Analyst Jr,BRP
Trainee facilities,Jabil
Comprador Jr,
TELEFONISTA,INFRA S.A. DE C.V.
Gerente de Negocio,Financiera Independencia
Especialista en Aduanas,Componentes Avanzados de Mexico S.A. de C.V.
HR Data Mgt and Global Serv Analyst,BRP
Editor de video,Enfoques
SISTEMAS,BAI
SAP Allrounder Inhouse (m/w),BIBER & ASSOCIATES
Asesor de ventas sector financiero,Logipack
SAP Entwickler Inhouse (m/w),BIBER & ASSOCIATES
SAP Projektleiter Inhouse (m/w),BIBER & ASSOCIATES
Promotor de ventas BANCO SEGURO Y AFORE,Logipack
SAP Allrounder/B1 Experte Inhouse (m/w/d),BIBER & ASSOCIATES
Senior SAP Technologies Berater (m/w),BIBER & ASSOCIATES
promotor de ventas de tarjeta de crédito,ADECCO
SAP Logistik Experte Inhouse (m/w),BIBER & ASSOCIATES
Frontend Entwickler (Angular / RxJS) (m/w/d),Westhouse Group GmbH
SAP Logistik Consultant Inhouse (m/w),BIBER & ASSOCIATES
SAP BI/BW Experte Inhouse (m/w),BIBER & ASSOCIATES
mecanico automotriz,Servicios de Capital Humano PC sa de cv
Senior Experte SAP FI-CA (m/w/d),BIBER & ASSOCIATES
Interner SAP Entwickler (m/w),BIBER & ASSOCIATES
SAP Entwicklungs Berater mit Fokus neue Entwicklungsthemen F...,BIBER & ASSOCIATES
SAP Financials Berater/Supporter Inhouse (m/w),BIBER & ASSOCIATES
SAP Financials Spezialist Inhouse (m/w),BIBER & ASSOCIATES
SAP-/IT-Reporting Spezialist Inhouse (m/w),BIBER & ASSOCIATES
Se solicita personal bilingüe para trabajar por la mañanas,HTG
SAP Financials Consultant/Programmierer Inhouse (m/w),BIBER & ASSOCIATES
Senior SAP Logistik Berater (m/w),BIBER & ASSOCIATES
Infrastruktur Projektleiter (m/w/d),Westhouse Group GmbH
SAP Basis Spezialist Inhouse (m/w),BIBER & ASSOCIATES
SAP Logistik Berater (m/w),BIBER & ASSOCIATES
Senior SAP Experte für den Solution Manager (m/w),BIBER & ASSOCIATES
Technical Architect - IT,AutoZone
Senior SAP Projektleiter im Consulting (m/w),BIBER & ASSOCIATES
Senior Berater SAP SD Inhouse (m/w),BIBER & ASSOCIATES
SAP CRM Entwicklungs-Spezialist Inhouse (m/w),BIBER & ASSOCIATES
SAP Entwickler bzw. Logistik Consultant Inhouse (m/w),BIBER & ASSOCIATES
SAP Account Manager / Sales Executive im Consulting (m/w/d),BIBER & ASSOCIATES
SAP Technologies Spezialist (m/w/d),BIBER & ASSOCIATES
Technischer Team-/Business-Unit-Leiter im Consulting (m/w/d),BIBER & ASSOCIATES
Technischer Teamlead und IT-Architekt Inhouse (m/w),BIBER & ASSOCIATES
SR SYSTEMS ENGINEER IT - QE,AutoZone
SAP Financials Berater/Projektleiter (m/w),BIBER & ASSOCIATES
Operador de Producción,Kelly Services
LEAD SYSTEMS ENGINEER IT - QE,AutoZone
guardia de seguridad privada,Caseem
SAP- und IT-Team-/-Projektleiter Inhouse (m/w),BIBER & ASSOCIATES
SAP Projektleiter mit technischer Ausrichtung Inhouse (m/w),BIBER & ASSOCIATES
Cloud Spezialist in der IT (SAP & non-SAP) Inhouse (m/w),BIBER & ASSOCIATES
SAP EWM Experte Inhouse (m/w/d),BIBER & ASSOCIATES
SAP Basis Berater (m/w/d),Westhouse Group GmbH
SAP BW/BO Berater (m/w/d),BIBER & ASSOCIATES
SAP IS-U Projektleiter/Berater (m/w),BIBER & ASSOCIATES
SAP Logistik Berater/Supporter Inhouse (m/w),BIBER & ASSOCIATES
SAP/IT Cloud Spezialist/Projektleiter Inhouse (m/w),BIBER & ASSOCIATES
SAP S/4HANA Projektleiter bzw. Cloud Architekt Inhouse (m/w),BIBER & ASSOCIATES
SUPERVISOR DE HOTEL,Administradora H Huatulco S.A. de C.V.
Asesor Previsional / Área de Pensiones,InverCap Afore
Recepción / Recepcionista,One Realty Inmobiliaria
ASESOR DE SOPORTE,La Cuarta SA de CV
Coordinador de embarques,Triple H
Auxiliar Administrativo,SERDI SA DE CV
Auxiliar de Facturación y Liquidaciones,Petroil
Jefe de Almacén,ADMINISTRADORA PROMINOX SA DE CV
Auxiliar en Control de Combustible,Petroil
SUB GERENCIA,INVERPLUX
Supervisor de Almacén,Mi Empleo TM
ENCARGADO DE BODEGA,FAMSA DEL PACIFICO
Coordinador de Mantenimiento y Autos Utilitarios,Petroil
BD SUPPORT,Gepae
Auxiliar de Capacitación Administrativa,INGRA PUBLICIDAD S.A. DE C.V.
Enfermera,Salud Digna
Supervisor de inocuidad en empaque,Green World de México SA de CV
CREDITO Y COBRANZA,GO&DO
AUXILIAR DE ENCARGADO,ESPECIAS Y PLASTICOS TERESITA
Analista de Inventarios,Wholesum
Auxiliar Mercadotecnia,Petroil
Encargado/a de Compras,Rh Market
CAJERO TELCEL,Telcel
ANALISTA DE EQUIPO TERMINAL MAZATLAN,Telcel
Director General Restaurantes,Rh Market
Recepcionista,HOTEL SLEEP INN MAZATLAN
Supervisor de Tráfico,Preciado Corporativo
JEFE DE OFICINA,AUTOBUSES DEL EVORA SA DE CV
Auxiliar de Logística,Reclutando talento
CONSULTOR (COACHING),COPPEL
Analista de Recursos Humanos,"DISEÑOS Y CONSTRUCCIONES HERESBO, S.A DE C.V."
CAJERO (A) MAZATLAN,CITIBANAMEX
Supervisor Operativo,PROLIMEX SA DE CV
Supervisor de Embarques,Wholesum
JEFE DE INVESTIGACION DE MERCADOS,GRUPO ALERTA
AUXILIAR DE INVENTARIO,ESPECIAS Y PLASTICOS TERESITA
GERENTE DE TIENDA CARTER'S FÓRUM CULIACÁN,CARTER'S
Encargado de inventarios y auditoria,Be Iluminación
Auxiliar Administrativo Almacen,GASTELUM Y GASTELUM ELECTRICIDAD
encargado de almacen,LA MERA
Jefe de Gestión de la Innovación e Ideas internas,Grupo Alerta
GERENTE DE COMPRAS,COPARMEX MAZATLAN
JEFE DE ALMACÉN,Líder del sector Agroindustrial
Recepcionista,Triple H
AUDITOR,CEREBEL SA DE CV
AUXILIAR GENERAL ADMINISTRATIVO,PROVEEDORA DE ARTES GRAFICAS
Community Manager,IMPULSA INMUEBLES
Encargado de Maquinas en Empaque,Green World de México SA de CV
SUBJEFE DE ALMACEN,HECOR RECLUTAMIENTO DE PERSONAL
Gerente Zona,JR Paqueteria
ENCARGADO DE COMPRAS,HECOR HERRAMIENTAS CORPORATIVAS
Beirut – Paid Search Associate,Merkle
JEFE DE BODEGA,WOOLWORTH
GERENTE DE OPERACIONES,HECOR HERRAMIENTAS CORPORATIVAS
vendedor - Retail galerias mazatlan,Job Fit
Analista de grano de maíz,Almacenadora Sur
Supervisor de Seguridad,Hoteleros
Concierge de Club Vacacional Bilingue,ROURA CORP.
Asesor Comercial,Head Hunting Talento
Logística Internacional,Soluciones Dinámicas
Enfermeras,Otagroup
Encargado de embarques,Tierra Estrella Ranch SA de CV
Auxiliar de inocuidad,Wholesum
AUXILIAR DE LOGISTICA,MENSAJERIA AM PM
Ejecutiva de atención a clientes,PLASTICS TECHNOLOGY DE MEXICO
Recepcionista / Auxiliar Administrativo,Mi Empleo TM
COORDINADOR DE LOGISTICA,Norson Alimentos
Comprador Internacional,FAPEM
Arquitecto Residente de Obra,Servicios Profesionales GYVSA S.A de C.V
MERCADOTECNIA,COPARMEX MAZATLAN
Auxiliar Administrativo,MUNSI CONSULTORES
1 Residente de obra- 1 Analista de precios unitarios- 1 proy...,Constructora FORUM
Soporte Técnico,MacStore
Asesor de ventas,Sistemas Hidraulicos Aqua
Auxiliar Almacenista,Tuvanosa
Ejecutivo Administrativo / Cajas,Financiera Independencia
ANALISTA DE DESARROLLO SOCIAL,DIVEMEX
Asistente de Dirección,LT&COVARRUBIAS
CARGADOR DE MERCANCÍA PARA CEDIS,ESPECIAS Y PLASTICOS TERESITA
EJECUTIVO DE ATENCIÓN A CLIENTES,PAE
Asistente de Dirección con experiencia en logística,Preciado Corporativo
SUPERVISOR DE VENTAS,INDUSTRIA DE MAIZ Y TRIGO BLANCAS
Retail Service Agent,FedEx Express LAC
Auxiliar de contabilidad,PROYECTOS INMOBILIARIOS DE CULIACAN SA DE CV
Soporte Técnico,MacStore Forum Culiacán
Asesor Comercial,Multisistemas de Seguridad Industrial
ASESOR DE VENTAS,Tecnicentro Royal SA de CV
ASISTENTE DE SUCURSAL,AUTOTRANSPORTES DE CARGA TRESGUERRAS
FLEBOTOMISTA/ TECNICO LABORATORISTA,Otagroup
supervisor de personal,HUMAN RETAIL / HUMAN STAFF
Auxiliar de costos y presupuestos,GLOBAL DE OCCIDENTE M&C SA DE CV
Gerente de casa y jardín,Interceramic
REPARTIDOR EN MOTOCICLETA,HULES Y AUTOMOTRICES MEDINA
Enfermera con Cedula para cubrir incapacidad,GLP
SUBGERENTE DE RESTAURANTE,AISPURO POLLOS
CHOFER REPARTIDOR DE ALIMENTOS,AISPURO POLLOS
TECNICO INSTALADOR TANQUES ESTACIONARIO,GASPASA
Cocinero,COCINA SALUDABLE
COCINERA,HOTEL LOS TRES RIOS
AUXILIAR DE LIMPIEZA,TROPICANA CASINO
VENDEDOR DE PISO PARA TIENDA DEPARTAMENTAL,GRUPO EMPLEA
REPARTIDOR DE ALIMENTOS EN MOTOCICLETA,MI MAMMA PIZZAS
Vendedor de tienda,Especialización de RH
CHOFER VENDEDOR,GASPASA
TÉCNICO EN MANTENIMIENTO,GRUPO MEGACABLE CULIACAN
Mid/Senior iOS Developer,FOO
VELADOR,HECOR HERRAMIENTAS CORPORATIVAS
AUXILIAR DE PISO,BODEGA AURRERA CALZADA AEROPUERTO
AYUDANTE DE CHOFER,GRUPO LALA SA DE CV
VIGILANTE,BODEGA AURRERA CALZADA AEROPUERTO
AUXILIAR DE PANADERIA,ERIC FERNANDO BELTRAN CAZARES
CAJERA VENDEDORA- SHASA FORUM CULIACAN,Shasa
Promotores de crédito en Culiacan,Tarjeta Amiga
GESTOR DE COBRANZA,JARDIN FUNERARIO SANTA MARÍA DE LA LUZ
"Promotor (a) de Autoservicio y farmacia Culiacan, Sinaloa.",Grupo COSMIC S.A de C.V
repartidor en moto,GOVI REFACCIONARIA S.A DE C.V
Auxiliar de chófer,ASISTENCIA EFICAZ SA DE CV
COCINERO DE AREA FRIA. SECTOR TRES RIOS,ASADOR LA VACA ARGENTINA CULIACAN
PROMOTOR DE VENTAS,InverCap Afore
Ejecutivo De Ventas,InverCap Afore
Vendedor de piso - Sendero Culiacán,Ópticas +Visión
VENDEDORA CAJERA - SHASA FORUM CULIACAN,Shasa
Mecánico Para bicicletas,Human Access
ASESORA DE VENTAS DE TIEMPO COMPLETO PLAZA EXPLANADA,TODOMODA
AUXILIAR DE LIMPIEZA,GIN
CHOFER REPARTIDOR,ELECTRO MAYOREO DE SINALOA SA DE CV
VENDEDOR DE SERVICIOS FUNERARIOS,GRUPO MOREH
GUARDIA DE SEGURIDAD PATRIMONIAL,VAKANDI S. R.L. DE C.V.
PROMOTOR DE VENTAS,DIGICOM
Enfermera Especialista,Hospital Angeles Culiacán
chofer repartidor por temporada.,Masterh People.
AYUDANTE DE CHOFER REPARTIDOR,"HIELO DE CULIACAN, S.A. DE C.V."
PROMOTOR DE VENTAS A DOMICILIO,GRUPO MEGACABLE CULIACAN
GUARDIA DE SEGURIDAD,GRUPO DE PROTECCION GIDAN
Guardias de Seguridad/ Culiacan,HUMAN RETAIL / HUMAN STAFF
CHOFER VENDEDOR A DETALLE,DISTRIBUCIONES A DETALLE SA DE CV
GUARDIA DE SEGURIDAD,IMPULSORES ESTRATEGICOS SILAO
GUARDIA DE SEGURIDAD,SELECTIVA
URGENTE* Vendedor para E-commerce (Ventas en Linea),SHOPEANDO / BORDERLESS
Ayudante General,Gütermann Polygal Mexicana S.A de C.V
BECARIO ECOMMERCE ADMINISTRACION VENTAS ATENCION CLIENTES ME...,SHOPEANDO BORDERLESS
Aux. Administrativo Informatica,IZZI
AUXILIAR DE COMPRAS,MR NEUMATIKA
"SUBGERENTE DE TIENDA $8,400 A $11,500 / CUERNAVACA CENTRO",SUPER MAYOREO NATURISTA S.A DE C.V
Supervisor de Producción,GD COMPONENTS DE MEXICO SA DE CV
Vendedor de Boutique Medio Tiempo - Forum Cuernavaca,Job Fit
Recepcionista / Auxiliar Administrativo,Alianza Outsourcing
